,R&D,Administration,Marketing,Profit,Location
0,110046.11554560914,30890.028793611924,198648.8185818845,138627.59441285755,0.0
1,115282.10351283304,28228.129909053187,161101.34117312857,136608.77747077908,0.0
2,72958.02114933934,31193.450640991232,244731.5526784628,103806.23134052144,0.0
3,76580.99863803916,36493.110765923404,227539.25249056847,90571.87876195883,0.0
4,80632.05208456916,25909.214229979698,249187.86302781315,133042.68877168614,0.0
5,122175.18691162847,24681.61232000469,291846.59734666155,182604.45656529613,1.0
6,105652.28915937155,30802.18664179553,187578.97515633993,124720.16947373895,0.0
7,75607.14666590258,38760.144176555936,225302.28898906,70545.90219736045,0.0
8,117083.5694677131,25521.98112298461,246739.7891616069,156954.612874589,1.0
9,103779.13559226312,32682.948240140984,210954.54400897137,118429.10674659545,0.0
10,70768.97146526212,30478.086708824765,190611.64031024397,98265.91359041676,0.0
11,86112.17755140761,29001.980328832764,157341.9447415102,105570.67238398432,0.0
12,85946.95350805232,33591.322527451026,147516.86789666998,94661.43896679796,0.0
13,101245.34594593229,30220.379817066067,155261.51604553507,113219.22205898757,0.0
14,46622.32628471835,45763.50235968546,264536.41133770335,25715.871999267947,0.0
15,106107.7553209764,29199.33175726906,199644.59821884552,137511.46861133736,0.0
16,97232.332220993,28821.22373689811,221436.8388291846,125432.04084432102,0.0
17,98346.60840142288,40919.05922536608,214963.17119223345,73064.72756030169,0.0
18,104436.51624172716,39078.74559444955,262867.94747929194,110121.9008334664,1.0
19,61482.071172863754,28668.47092463346,274143.3941375082,121283.95655928313,0.0
20,65695.7402977247,37437.27051713882,244249.70688479897,85356.6007568422,0.0
21,104793.05601089323,39343.82971000205,203665.30400180072,101017.78985865312,0.0
22,69950.59413551749,36137.44669205357,151517.85862437767,75646.28236971972,0.0
23,99396.3382137972,37699.066388876694,155174.97476239604,86142.2062528998,0.0
24,77340.69574835202,35456.58623928341,159326.93687617528,84383.01743204461,0.0
25,113486.32300582615,34775.28209484962,180231.1322826634,122497.00346259761,0.0
26,111643.89371456622,34344.783671376594,318941.16788253275,137797.5968985345,1.0
27,117863.67842137614,30453.916229054295,104067.5205394171,119935.19279242773,0.0
28,89850.06291342995,42323.125007773386,207206.78349760512,84250.44093919778,0.0
29,101098.47940017906,35532.61612832806,345922.41340108524,135919.03203267956,1.0
30,88300.72722458692,32377.218726854964,232467.58720722562,114288.62768269826,0.0
31,102865.98564853608,34356.15071263802,413692.60359434696,150418.24749207246,1.0
32,101412.95768799678,30956.385068337313,176611.6002481934,117979.90742913714,0.0
33,92142.7024446814,38741.77080017532,231704.2909700173,92839.84968260679,0.0
34,92402.74691180565,34247.784088616616,283741.95480491885,115879.6245911015,1.0
35,81952.63249683466,23617.855591813644,251855.88177039142,137450.110542005,0.0
36,81944.36765415574,37063.88278326988,255233.27780309555,83914.8945406991,0.0
37,96515.3895109802,36183.18876615868,210359.63457314,102148.48577266718,0.0
38,90655.60997329642,40076.57803059801,307905.10310711147,109426.58752475085,0.0
39,48663.54854409283,29359.657176320834,159661.29220411254,71171.18363289046,0.0
40,108375.7141469943,28895.980973804606,312640.9255315137,153160.10959475345,1.0
41,98609.72789056467,30458.484155247606,291926.8634633642,135990.79174771905,1.0
42,63690.01615502403,37686.988531448864,278007.020268003,84031.56580289773,0.0
43,74155.40334527899,39112.21660039697,274205.55501584895,81957.38161281646,0.0
44,72227.51753922935,34624.304690357545,210678.6676300575,93699.99078909689,0.0
45,127533.67966899375,27668.862623163117,161706.85607970026,149907.16428625595,0.0
46,120423.83568889908,33034.327659501236,242764.85512638566,147593.0109023384,1.0
47,60936.26407701117,33915.413607638155,265212.4811064677,93621.38145813369,0.0
48,73137.70915551229,36676.31496363311,143091.07857773025,59422.52735376282,0.0
49,80241.53317242034,42736.4270535293,217943.96006481798,69523.6104115172,0.0
50,120359.55979289938,24858.176764129374,322417.87115399603,179619.26050394983,1.0
51,108914.46560658547,32944.77020067445,289202.9834291374,147491.53339819485,1.0
52,98493.62331312314,37804.95970007461,347813.99252787005,114445.38742547891,1.0
53,66305.21849443941,36922.7238420378,273801.07439416985,74427.9650559808,0.0
54,132551.33721746446,39756.00621610335,283975.6750507396,132806.01014951762,1.0
55,120100.49532313064,39799.175926051525,150782.69520148655,104029.706652389,0.0
56,109882.56412512827,40140.39860159548,224885.80628898408,107972.58618617993,0.0
57,70585.55588050677,41548.48360299184,254363.62980908173,63364.97473968848,0.0
58,108476.81157705089,32948.72797211161,160769.69905810858,119207.62438923217,0.0
59,80479.64642870783,33369.906752004346,202907.4129845423,105186.858676279,0.0
60,56918.6354731162,35742.546366079536,183719.53128494538,55013.380755176666,0.0
61,131786.4380575405,34270.4860321688,168278.53025435767,126371.96871983277,0.0
62,87476.67674800292,30670.5471755088,57691.44399801145,93030.85464893756,0.0
63,80949.45486102754,35168.716247053875,314491.0748813291,108260.22515274148,0.0
64,71180.03289252242,28348.289159973232,332760.80889993475,130312.72682157885,0.0
65,103374.91394261431,28198.804300585864,255888.305872942,151069.9341622008,1.0
66,78752.95985334268,36152.56763486841,369272.50294961897,126363.91729203997,0.0
67,99282.49879669597,34914.92064189359,328434.0898139015,128578.52607752457,1.0
68,82430.83771383025,29952.97359164966,191390.45814428807,109909.59515637418,0.0
69,99038.16250338746,29027.932830148093,226552.36481604833,127784.06383407359,0.0
70,103203.55224555073,39173.58921088733,218475.575813646,107474.12078368223,0.0
71,63323.85649043412,36013.494156116125,170908.63710765974,73420.02030202217,0.0
72,109127.25867550776,39244.29037580721,300959.0647503324,124159.74052660345,1.0
73,59307.80597574472,32872.58688730903,220230.30802303946,84009.40540000907,0.0
74,78986.69508919379,34420.871237520536,283019.0979661558,109790.13424956339,0.0
75,84519.34301058012,34968.04942347869,138498.26623743045,82696.74882424598,0.0
76,119140.05752547708,28900.92137194286,177441.43623076958,139085.2163916911,0.0
77,106075.61125342299,34095.61576793349,305741.37086046877,139497.4060521013,1.0
78,76176.28034699555,39538.23088159554,155495.98616076773,63874.30309958862,0.0
79,74331.41395473335,36951.28480883566,155933.79768951883,83181.76661022376,0.0
80,78471.85572240301,35013.92464824482,161414.70582361947,79419.92008226376,0.0
81,62212.42465046509,28504.303068228084,202794.0326626606,110521.74477018943,0.0
82,110915.33269936134,36249.04660657175,137880.9579159461,96485.02693938174,0.0
83,92652.94264138403,36862.28017087279,297543.11586065975,118524.5313579488,1.0
84,86158.03597322706,31827.76073972118,213848.74853389154,114202.97022248796,0.0
85,100691.89328036437,33596.40785708366,350732.5112850236,141708.60479328828,1.0
86,90231.45322906955,37297.5129409795,202640.01098554314,87421.28344250146,0.0
87,131346.46399651907,28138.335432877957,185302.99064755524,155791.41534611644,0.0
88,123001.41718552898,39625.57123681555,268284.6948403726,125320.92670793257,1.0
89,83553.53896021616,43777.812663895034,285957.57075548155,75594.3883388863,0.0
90,82382.84822099157,32249.281554644404,151578.2777910936,94024.97853226177,0.0
91,71592.95557479406,35342.18358353873,183261.04723226122,75842.35499822767,0.0
92,98457.51281400898,27598.308543018586,155002.6944662286,129542.30801507946,0.0
93,103942.63829386796,33530.56604479662,240494.63107455763,122126.86600813323,1.0
